epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,450.032,0.64608,0.9238,1,0.48848,0.00164827,0.000549423,0.00164827,0.000549423,0.00164827,0.000549423,0.00164827,0.000549423
2,673.539,0.33572,0.97341,1,0.12644,0.00315116,0.00105039,0.00315116,0.00105039,0.00315116,0.00105039,0.00315116,0.00105039
3,1003.24,0.11705,0.98369,1,0.04227,0.00448902,0.00149634,0.00448902,0.00149634,0.00448902,0.00149634,0.00448902,0.00149634
4,1196.52,0.05277,0.99419,1,0.0216,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
5,1354.41,0.03387,0.99441,1,0.01443,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
6,1502.41,0.02705,0.9962,1,0.0115,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
7,1649.94,0.02364,0.9962,1,0.01052,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
8,1796.88,0.02051,0.99665,1,0.00832,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
9,1943.72,0.01769,0.99709,1,0.00746,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
10,2090.16,0.01718,0.99687,1,0.00773,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
11,2243.93,0.01616,0.99665,1,0.00831,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
12,2389.84,0.01504,0.99709,1,0.00782,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
13,2535.85,0.01406,0.99642,1,0.00696,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
14,2682.14,0.01455,0.99709,1,0.00732,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
15,2828.77,0.01307,0.99709,1,0.00652,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
16,2975.2,0.01178,0.99687,1,0.00765,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253
17,3124.62,0.01296,0.99687,1,0.00755,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
18,3274.17,0.01295,0.99709,1,0.00909,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422
19,3423.72,0.01224,0.99709,1,0.00729,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
20,3573.32,0.01141,0.99709,1,0.00782,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05
